event,operation,values,maximum_abs,minimum_nonzero_abs,output_cipher,input_a,input_b
0,encode,16,1,1.7763568394002505e-15,0,0,0
1,encode,16,100,100,0,0,0
2,encrypt,0,0,0,1,0,0
3,mulPlain,0,0,0,2,1,0
4,encode,16,0.99999999999999645,1.7763568394002505e-15,0,0,0
5,encode,16,100,100,0,0,0
6,encrypt,0,0,0,3,0,0
7,mulPlain,0,0,0,4,3,0
8,encode,16,0.99999999999999645,1.7763568394002378e-15,0,0,0
9,encode,16,100,100,0,0,0
10,encrypt,0,0,0,5,0,0
11,mulPlain,0,0,0,6,5,0
12,encode,16,0.49999999999999822,0.24999999999999822,0,0,0
13,encode,16,100,100,0,0,0
14,encrypt,0,0,0,7,0,0
15,mulPlain,0,0,0,8,7,0
16,add,0,0,0,9,6,8
17,add,0,0,0,10,2,4
18,add,0,0,0,11,10,9
19,encode,16,104,104,0,0,0
20,encrypt,0,0,0,12,0,0
21,encode,16,42.187499996674006,14.062499998891337,0,0,0
22,sub,0,0,0,13,12,11
23,mulPlain,0,0,0,14,13,0
24,encode,16,1,1,0,0,0
25,encode,16,100,100,0,0,0
26,encrypt,0,0,0,15,0,0
27,mulPlain,0,0,0,16,15,0
28,encode,16,0,inf,0,0,0
29,encode,16,100,100,0,0,0
30,encrypt,0,0,0,17,0,0
31,mulPlain,0,0,0,18,17,0
32,encode,16,0,inf,0,0,0
33,encode,16,100,100,0,0,0
34,encrypt,0,0,0,19,0,0
35,mulPlain,0,0,0,20,19,0
36,encode,16,0,inf,0,0,0
37,encode,16,100,100,0,0,0
38,encrypt,0,0,0,21,0,0
39,mulPlain,0,0,0,22,21,0
40,add,0,0,0,23,20,22
41,add,0,0,0,24,16,18
42,add,0,0,0,25,24,23
43,sub,0,0,0,26,25,11
44,encode,16,30.923292191989031,7.4999999994087148,0,0,0
45,subPlain,0,0,0,27,26,0
46,mulPlain,0,0,0,28,27,0
47,encode,16,30.923292191989031,7.4999999994087148,0,0,0
48,subPlain,0,0,0,29,26,0
49,mulPlain,0,0,0,30,29,0
50,encode,16,3.5527136788005009e-15,3.5527136788005009e-15,0,0,0
51,encode,16,100,100,0,0,0
52,encrypt,0,0,0,31,0,0
53,mulPlain,0,0,0,32,31,0
54,encode,16,0.99999999999999645,0.99999999999999645,0,0,0
55,encode,16,100,100,0,0,0
56,encrypt,0,0,0,33,0,0
57,mulPlain,0,0,0,34,33,0
58,encode,16,0,inf,0,0,0
59,encode,16,100,100,0,0,0
60,encrypt,0,0,0,35,0,0
61,mulPlain,0,0,0,36,35,0
62,encode,16,0,inf,0,0,0
63,encode,16,100,100,0,0,0
64,encrypt,0,0,0,37,0,0
65,mulPlain,0,0,0,38,37,0
66,add,0,0,0,39,36,38
67,add,0,0,0,40,32,34
68,add,0,0,0,41,40,39
69,sub,0,0,0,42,41,11
70,encode,16,42.426406869520434,7.4999999994087139,0,0,0
71,subPlain,0,0,0,43,42,0
72,mulPlain,0,0,0,44,43,0
73,encode,16,42.426406869520434,7.4999999994087139,0,0,0
74,subPlain,0,0,0,45,42,0
75,mulPlain,0,0,0,46,45,0
76,encode,16,3.5527136788004883e-15,3.5527136788004883e-15,0,0,0
77,encode,16,100,100,0,0,0
78,encrypt,0,0,0,47,0,0
79,mulPlain,0,0,0,48,47,0
80,encode,16,0.99999999999999289,0.99999999999999289,0,0,0
81,encode,16,100,100,0,0,0
82,encrypt,0,0,0,49,0,0
83,mulPlain,0,0,0,50,49,0
84,encode,16,0,inf,0,0,0
85,encode,16,100,100,0,0,0
86,encrypt,0,0,0,51,0,0
87,mulPlain,0,0,0,52,51,0
88,encode,16,3.5527136788004883e-15,3.5527136788004883e-15,0,0,0
89,encode,16,100,100,0,0,0
90,encrypt,0,0,0,53,0,0
91,mulPlain,0,0,0,54,53,0
92,add,0,0,0,55,52,54
93,add,0,0,0,56,48,50
94,add,0,0,0,57,56,55
95,sub,0,0,0,58,57,11
96,encode,16,36.055512752671966,2.5000000000000022,0,0,0
97,subPlain,0,0,0,59,58,0
98,mulPlain,0,0,0,60,59,0
99,encode,16,36.055512752671966,2.5000000000000022,0,0,0
100,subPlain,0,0,0,61,58,0
101,mulPlain,0,0,0,62,61,0
102,encode,16,0.99999999999999289,0.99999999999999289,0,0,0
103,encode,16,100,100,0,0,0
104,encrypt,0,0,0,63,0,0
105,mulPlain,0,0,0,64,63,0
106,encode,16,3.5527136788004883e-15,3.5527136788004883e-15,0,0,0
107,encode,16,100,100,0,0,0
108,encrypt,0,0,0,65,0,0
109,mulPlain,0,0,0,66,65,0
110,encode,16,3.5527136788004883e-15,3.5527136788004883e-15,0,0,0
111,encode,16,100,100,0,0,0
112,encrypt,0,0,0,67,0,0
113,mulPlain,0,0,0,68,67,0
114,encode,16,0,inf,0,0,0
115,encode,16,100,100,0,0,0
116,encrypt,0,0,0,69,0,0
117,mulPlain,0,0,0,70,69,0
118,add,0,0,0,71,68,70
119,add,0,0,0,72,64,66
120,add,0,0,0,73,72,71
121,sub,0,0,0,74,73,11
122,encode,16,22.360679774645313,3.5355339057933746,0,0,0
123,subPlain,0,0,0,75,74,0
124,mulPlain,0,0,0,76,75,0
125,encode,16,22.360679774645313,3.5355339057933746,0,0,0
126,subPlain,0,0,0,77,74,0
127,mulPlain,0,0,0,78,77,0
128,encode,16,3.5527136788004883e-15,3.5527136788004883e-15,0,0,0
129,encode,16,100,100,0,0,0
130,encrypt,0,0,0,79,0,0
131,mulPlain,0,0,0,80,79,0
132,encode,16,0,inf,0,0,0
133,encode,16,100,100,0,0,0
134,encrypt,0,0,0,81,0,0
135,mulPlain,0,0,0,82,81,0
136,encode,16,0.99999999999999289,0.99999999999999289,0,0,0
137,encode,16,100,100,0,0,0
138,encrypt,0,0,0,83,0,0
139,mulPlain,0,0,0,84,83,0
140,encode,16,3.5527136788004883e-15,3.5527136788004883e-15,0,0,0
141,encode,16,100,100,0,0,0
142,encrypt,0,0,0,85,0,0
143,mulPlain,0,0,0,86,85,0
144,add,0,0,0,87,84,86
145,add,0,0,0,88,80,82
146,add,0,0,0,89,88,87
147,sub,0,0,0,90,89,11
148,encode,16,36.055512753765242,2.4999999998029083,0,0,0
149,subPlain,0,0,0,91,90,0
150,mulPlain,0,0,0,92,91,0
151,encode,16,36.055512753765242,2.4999999998029083,0,0,0
152,subPlain,0,0,0,93,90,0
153,mulPlain,0,0,0,94,93,0
